Désignation;Type de médicament;Laboratoire
CRESOPHENE  solution pour usage dentaire;solution pour usage dentaire;SEPTODONT
CRESTOR 10 mg  comprimé pelliculé;comprimé pelliculé;ASTRAZENECA
CRESTOR 20 mg  comprimé pelliculé;comprimé pelliculé;ASTRAZENECA
CRESTOR 5 mg  comprimé pelliculé;comprimé pelliculé;ASTRAZENECA
CRINONE 80 mg/g  gel vaginal;gel;MERCK SANTE
CRISTAL ADULTES  suppositoire;suppositoire;COOPER
CRISTAL ENFANTS  suppositoire;suppositoire;COOPER
CRISTAL NOURRISSONS  suppositoire;suppositoire;COOPER
CRIXIVAN 200 mg  gélule;gélule;MERCK SHARP & DOHME (PAYS-BAS)
CRIXIVAN 400 mg  gélule;gélule;MERCK SHARP & DOHME (PAYS-BAS)
CROCUS SATIVUS BOIRON  degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CROMABAK 20 mg/ml  collyre en solution;collyre en solution;THEA
CROMADOSES 2 POUR CENT  collyre en solution en récipient unidose;collyre en solution;THEA
CROMEDIL 2 POUR CENT  collyre en solution en récipient unidose;collyre en solution;EUROPHTA
CROMOFREE 2 %  collyre en solution;collyre en solution;LABORATOIRE CHAUVIN
CROMOGLICATE DE SODIUM BIOGARAN 2%  collyre en solution;collyre en solution;BIOGARAN
CROMOGLICATE DE SODIUM MYLAN 2 %  collyre en solution;collyre en solution;MYLAN SAS
CROMOGLICATE DE SODIUM SANDOZ CONSEIL 2 %  collyre en solution en récipient unidose;collyre en solution;SANDOZ
CROMOPTIC 2 %  collyre en solution;collyre en solution;LABORATOIRE CHAUVIN
CROMOPTIC 2 %  collyre en solution en récipient unidose;collyre en solution;LABORATOIRE CHAUVIN
CROMORHINOL 2 %  solution pour pulvérisation nasale;solution pour pulvérisation;LABORATOIRE CHAUVIN
CROTALUS HORRIDUS WELEDA  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;granules et  solution en gouttes en gouttes et  crème;WELEDA
CROTON TIGLIUM BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CROTON TIGLIUM LEHNING  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
CRYSVITA 10 mg  solution injectable;solution injectable;KYOWA KIRIN HOLDINGS (PAYS-BAS)
CRYSVITA 20 mg  solution injectable;solution injectable;KYOWA KIRIN HOLDINGS (PAYS-BAS)
CRYSVITA 30 mg  solution injectable;solution injectable;KYOWA KIRIN HOLDINGS (PAYS-BAS)
CUBICIN 350 mg  poudre pour solution injectable ou pour perfusion;poudre pour solution injectable ou pour perfusion;MERCK SHARP & DOHME (PAYS-BAS)
CUBICIN 500 mg  poudre pour solution injectable ou pour perfusion;poudre pour solution injectable ou pour perfusion;MERCK SHARP & DOHME (PAYS-BAS)
CUIVRE OLIGOSOL  solution buvable en ampoule;solution buvable;LABCATAL
CUIVRE-OR-ARGENT OLIGOSOL  solution buvable en flacon;solution buvable;LABCATAL
CUPRESSUS SEMPERVIRENS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CUPRESSUS SEMPERVIRENS LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
CUPRIOR 150 mg  comprimé;comprimé;GMP-ORPHAN
CUPRUM ACETICUM BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CUPRUM ACETICUM LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
CUPRUM ACETICUM WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;granules et  poudre et  solution en gouttes en gouttes;WELEDA
CUPRUM ARSENICOSUM BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CUPRUM METALLICUM BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CUPRUM METALLICUM LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
CUPRUM METALLICUM WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;solution et granules et poudre et pommade;WELEDA
CUPRUM OXYDATUM NIGRUM BOIRON  degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CUPRUM SULFURICUM BOIRON  degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CUPRUM SULFURICUM WELEDA  degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH;granules et  pommade et  solution en gouttes en gouttes;WELEDA
CURACNE 10 mg  capsule molle;capsule molle;PIERRE FABRE DERMATOLOGIE
CURACNE 20 mg  capsule molle;capsule molle;PIERRE FABRE DERMATOLOGIE
CURACNE 40 mg  capsule molle;capsule molle;PIERRE FABRE DERMATOLOGIE
CURACNE 5 mg  capsule molle;capsule molle;PIERRE FABRE DERMATOLOGIE
CURARE BOIRON  degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CURASPOTAQUA 5 %  gel;gel;GALDERMA INTERNATIONAL
CURCUMA XANTHORRHIZA  décocté WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;crème et solution et granules et poudre;WELEDA
CURETHYL 26 POUR CENT  solution injectable I.V.;solution injectable;CEMAG CARE
CUROSURF 120 mg/1 5 ml  suspension pour instillation endotrachéobronchique;suspension pour instillation;CHIESI
CUROSURF 240 mg/3 ml  suspension pour instillation endotrachéobronchique;suspension pour instillation;CHIESI
CUTACNYL 10 POUR CENT  gel pour application locale;gel pour application;GALDERMA INTERNATIONAL
CUTACNYL 2 5 POUR CENT  gel pour application locale;gel pour application;GALDERMA INTERNATIONAL
CUTACNYL 5 POUR CENT  gel pour application locale;gel pour application;GALDERMA INTERNATIONAL
CUTERPES 1 POUR CENT  gel pour application locale;gel pour application;LABORATOIRE CHAUVIN
CUTISAN 1 %  poudre pour application cutanée;poudre pour application;LABORATOIRE XO
CYANOCOBALAMINE RENAUDIN 500 microgrammes/ml  solution injectable en ampoule (IM);solution injectable;LABORATOIRE RENAUDIN
CYANOKIT 5 g  poudre pour solution pour perfusion;poudre pour solution pour perfusion;SERB (BELGIQUE)
CYCLADOL 20 mg  comprimé effervescent;comprimé effervescent(e);CHIESI
CYCLADOL 20 mg  comprimé sécable;comprimé sécable;CHIESI
CYCLAMEN EUROPAEUM BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CYCLAMEN EUROPAEUM LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
CYCLO 3 FORT  gélule;gélule;PIERRE FABRE MEDICAMENT
CYCLO 3  crème;crème;PIERRE FABRE MEDICAMENT
CYCLOPHOSPHAMIDE SANDOZ 1000 mg  poudre pour solution injectable ou pour perfusion;poudre pour solution injectable ou pour perfusion;SANDOZ
CYCLOPHOSPHAMIDE SANDOZ 500 mg  poudre pour solution injectable ou pour perfusion;poudre pour solution injectable ou pour perfusion;SANDOZ
CYMBALTA 30 mg  gélule gastro-résistante;gélule gastro-résistant(e);ELI LILLY (PAYS BAS)
CYMBALTA 60 mg  gélule gastro-résistante;gélule gastro-résistant(e);ELI LILLY (PAYS BAS)
CYMEVAN 500 mg  poudre pour solution à diluer pour perfusion;poudre pour solution à diluer pour perfusion;CHEPLAPHARM ARZNEIMITTEL (ALLEMAGNE)
CYNARA SCOLYMUS BOIRON  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CYNARA SCOLYMUS LEHNING  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
CYNARA SCOLYMUS WELEDA  degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH;crème et solution et granules et poudre;WELEDA
CYNOMEL 0 025 mg  comprimé sécable;comprimé sécable;SANOFI AVENTIS FRANCE
CYPRIPEDIUM PUBESCENS BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
CYPRIPEDIUM PUBESCENS LEHNING  degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
CYPROTERONE BIOGARAN 100 mg  comprimé sécable;comprimé sécable;BAYER HEALTHCARE
CYPROTERONE BIOGARAN 50 mg  comprimé sécable;comprimé sécable;BAYER HEALTHCARE
CYPROTERONE MYLAN 100 mg  comprimé sécable;comprimé sécable;MYLAN SAS
CYPROTERONE MYLAN 50 mg  comprimé;comprimé;MYLAN SAS
CYPROTERONE ZENTIVA 100 mg  comprimé sécable;comprimé sécable;ZENTIVA FRANCE
CYPROTERONE ZENTIVA 50 mg  comprimé;comprimé;ZENTIVA FRANCE
CYPROTERONE/ETHINYLESTRADIOL TEVA 2 mg/0 035 mg  comprimé enrobé;comprimé enrobé;TEVA SANTE
CYRAMZA 10 mg/ml  solution à diluer pour perfusion;solution à diluer pour perfusion;ELI LILLY (PAYS BAS)
CYRDANAX 20 mg/ml  poudre pour solution pour perfusion;poudre pour solution pour perfusion;PHARMASELECT INTERNATIONAL BETEILIGUNGS (AUTRICHE)
CYSTADANE 1 g  poudre orale;poudre;ORPHAN EUROPE
CYSTADROPS 3 8 mg/ml  collyre en solution;collyre en solution;ORPHAN EUROPE
CYSTAGON 150 mg  gélule;gélule;ORPHAN EUROPE
CYSTAGON 50 mg  gélule;gélule;ORPHAN EUROPE
CYSTINE / VITAMINE B6 BIOGARAN CONSEIL 500 mg/50 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
CYSTINE B6 BAILLEUL  comprimé pelliculé;comprimé pelliculé;LABORATOIRES BAILLEUL (LUXMEBOURG)
CYTARABINE ACCORD 100 mg/ml  solution injectable ou pour perfusion;solution pour préparation injectable ou pour perfusion;ACCORD HEALTHCARE FRANCE
CYTARABINE EBEWE 20 mg/ml  solution injectable;solution injectable;SANDOZ
CYTARABINE EBEWE 50 mg/ml  solution injectable;solution injectable;SANDOZ
CYTARABINE EG 20 mg/ml  solution injectable;solution injectable;EG LABO - LABORATOIRES EUROGENERICS
CYTARABINE EG 50 mg/ml  solution injectable;solution injectable;EG LABO - LABORATOIRES EUROGENERICS
CYTARABINE KABI 100 mg/ml  solution injectable ou pour perfusion;solution pour injection ou pour perfusion;FRESENIUS KABI ONCOLOGY PLC (ROYAUME-UNI)
CYTARABINE SANDOZ 100 mg/ml  solution injectable;solution injectable;SANDOZ
CYTEAL  solution moussante;solution moussant(e);PIERRE FABRE MEDICAMENT
CYTOTEC 200 microgrammes  comprimé sécable;comprimé sécable;PFIZER HOLDING FRANCE
Ca-DTPA 250 mg/mL  solution injectable;solution injectable;PHARMACIE CENTRALE DES ARMEES- PCA
Cefpodoxime Mylan enfants et nourissons 40 mg/5 ml  poudre pour suspension buvable;poudre pour suspension buvable;MYLAN SAS
DACARBAZINE LIPOMED 100 mg  poudre pour solution injectable ou perfusion;poudre pour solution injectable ou pour perfusion;LIPOMED (ALLEMAGNE)
DACARBAZINE LIPOMED 200 mg  poudre pour solution injectable ou perfusion;poudre pour solution injectable ou pour perfusion;LIPOMED (ALLEMAGNE)
DACARBAZINE MEDAC 100 mg  poudre pour solution injectable ou perfusion;poudre pour solution injectable ou pour perfusion;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
DACARBAZINE MEDAC 1000 mg  poudre pour solution pour perfusion;poudre pour solution injectable pour perfusion;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
DACARBAZINE MEDAC 500 mg  poudre pour solution pour perfusion;poudre pour solution injectable ou pour perfusion;MEDAC GESELLSCHAFT FUR KLINISCHE SPEZIALPRAPARATE (ALLEMAGNE)
DACOGEN 50 mg  poudre pour solution à diluer pour perfusion;poudre pour solution à diluer pour perfusion;JANSSEN CILAG INTERNATIONAL NV
DACRYOSERUM  solution pour lavage oculaire;solution pour lavage;COOPER
DACRYOSERUM  solution pour lavage ophtalmique en récipient unidose;solution pour lavage;COOPER
DACRYUM  solution pour lavage ophtalmique en récipient unidose;solution pour lavage;COOPER
DACUDOSES  solution pour lavage ophtalmique en récipient unidose;solution pour lavage;GIFRER BARBEZAT
DAFALGAN 1000 mg  comprimé effervescent;comprimé effervescent(e);UPSA
DAFALGAN 1000 mg  comprimé pelliculé;comprimé pelliculé;UPSA
DAFALGAN 500 mg  comprimé;comprimé;UPSA
DAFALGAN 500 mg  comprimé effervescent sécable;comprimé effervescent(e) sécable;UPSA
DAFALGAN 500 mg  gélule;gélule;UPSA
DAFALGAN ADULTES 600 mg  suppositoire;suppositoire;UPSA
DAFALGAN CODEINE  comprimé effervescent sécable;comprimé effervescent(e) sécable;UPSA
DAFALGAN CODEINE  comprimé pelliculé;comprimé pelliculé;UPSA
DAFALGANHOP 1000 mg  comprimé effervescent;comprimé effervescent(e);UPSA
DAFLON 1000 mg  comprimé pelliculé;comprimé pelliculé;LES LABORATOIRES SERVIER
DAFLON 500 mg  comprimé pelliculé;comprimé pelliculé;MEDIWIN
DAFLON 500 mg  comprimé pelliculé;comprimé pelliculé;LES LABORATOIRES SERVIER
DAFLON 500 mg  comprimé pelliculé;comprimé pelliculé;PHARMA LAB
DAILY  comprimé enrobé;comprimé enrobé et  comprimé enrobé et  comprimé enrobé;PIERRE FABRE MEDICAMENT
DAIVOBET 50 microgrammes/0 5 mg/g  gel;gel;LEO PHARMA A/S (DANEMARK)
DAIVOBET 50 microgrammes/0 5 mg/g  pommade;pommade;LEO PHARMA A/S (DANEMARK)
DAIVONEX 50 microgrammes/gramme  crème;crème;LABORATOIRES LEO
DAIVONEX 50 microgrammes/gramme  pommade;pommade;LABORATOIRES LEO
DAKIN COOPER STABILISE  solution pour application locale en flacon;solution pour application;COOPER
DAKLINZA 30 mg  comprimé pelliculé;comprimé pelliculé;BRISTOL MYERS SQUIBB PHARMA (GRANDE BRETAGNE)
DAKLINZA 60 mg  comprimé pelliculé;comprimé pelliculé;BRISTOL MYERS SQUIBB PHARMA (GRANDE BRETAGNE)
DAKTARIN 2 %  gel buccal;gel;JANSSEN CILAG
DAKTARIN 2 %  poudre pour application cutanée;poudre pour application;JANSSEN CILAG
DALACINE 150 mg  gélule;gélule;PFIZER HOLDING FRANCE
DALACINE 300 mg  gélule;gélule;PFIZER HOLDING FRANCE
DALACINE 600 mg  solution injectable;solution injectable;PFIZER HOLDING FRANCE
DALACINE 75 mg  gélule;gélule;PFIZER HOLDING FRANCE
DALACINE 900 mg  solution injectable;solution injectable;PFIZER HOLDING FRANCE
DALACINE T TOPIC  solution pour application cutanée;solution pour application;PFIZER HOLDING FRANCE
DAMIANA BOIRON  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;BOIRON
DAMIANA LEHNING  degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH;comprimé et solution(s) et granules et poudre et pommade;LEHNING
DANATROL 200 mg  gélule;gélule;SANOFI AVENTIS FRANCE
DANTRIUM 100 mg  gélule;gélule;NORGINE (PAYS-BAS)
DANTRIUM 25 mg  gélule;gélule;NORGINE (PAYS-BAS)
DANTRIUM INTRAVEINEUX  lyophilisat pour préparation injectable;lyophilisat pour préparation injectable;NORGINE (PAYS-BAS)
DAONIL 5 mg  comprimé sécable;comprimé sécable;SANOFI AVENTIS FRANCE
DAPTOMYCINE ACCORD 350 mg  poudre pour solution injectable/pour perfusion;poudre pour solution injectable ou pour perfusion;ACCORD HEALTHCARE FRANCE
DAPTOMYCINE ACCORD 500 mg  poudre pour solution injectable/pour perfusion;poudre pour solution injectable ou pour perfusion;ACCORD HEALTHCARE FRANCE
DAPTOMYCINE REDDY 350 mg  poudre pour solution injectable/pour perfusion;poudre pour solution injectable ou pour perfusion;DR. REDDY'S LABORATORIES (UK) (ROYAUME-UNI)
DAPTOMYCINE REDDY 500 mg  poudre pour solution injectable/pour perfusion;poudre pour solution injectable ou pour perfusion;DR. REDDY'S LABORATORIES (UK) (ROYAUME-UNI)
DARUNAVIR BIOGARAN 600 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
DARUNAVIR BIOGARAN 800 mg  comprimé pelliculé;comprimé pelliculé;BIOGARAN
DARUNAVIR EG 400 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
DARUNAVIR EG 600 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
DARUNAVIR EG 800 mg  comprimé pelliculé;comprimé pelliculé;EG LABO - LABORATOIRES EUROGENERICS
DARUNAVIR KRKA 600 mg  comprimé pelliculé;comprimé pelliculé;KRKA (SLOVENIE)
DARUNAVIR KRKA 800 mg  comprimé pelliculé;comprimé pelliculé;KRKA (SLOVENIE)
DARUNAVIR MYLAN 400 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
DARUNAVIR MYLAN 600 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
DARUNAVIR MYLAN 800 mg  comprimé pelliculé;comprimé pelliculé;MYLAN SAS
DARUNAVIR REDDY PHARMA 400 mg  comprimé pelliculé;comprimé pelliculé;REDDY PHARMA
DARUNAVIR REDDY PHARMA 600 mg  comprimé pelliculé;comprimé pelliculé;REDDY PHARMA
DARUNAVIR REDDY PHARMA 800 mg  comprimé pelliculé;comprimé pelliculé;REDDY PHARMA
DARUNAVIR SANDOZ 400 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
DARUNAVIR SANDOZ 600 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
DARUNAVIR SANDOZ 800 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
DARUNAVIR TEVA 600 mg  comprimé pelliculé;comprimé pelliculé;TEVA SANTE
DARUNAVIR TEVA 800 mg  comprimé pelliculé;comprimé pelliculé;TEVA PHARMA (PAYS-BAS)
DARUNAVIR ZENTIVA 400 mg  comprimé pelliculé;comprimé pelliculé;ZENTIVA FRANCE
DARUNAVIR ZENTIVA 600 mg  comprimé pelliculé;comprimé pelliculé;ZENTIVA FRANCE
DARUNAVIR ZENTIVA 800 mg  comprimé pelliculé;comprimé pelliculé;ZENTIVA FRANCE
DARZALEX 20 mg/ml solution à diluer pour perfusion;solution à diluer pour perfusion;JANSSEN CILAG INTERNATIONAL NV
DASATINIB SANDOZ 100 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
DASATINIB SANDOZ 140 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
DASATINIB SANDOZ 20 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
DASATINIB SANDOZ 50 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
DASATINIB SANDOZ 70 mg  comprimé pelliculé;comprimé pelliculé;SANDOZ
DASSELTA 5 mg  comprimé pelliculé;comprimé pelliculé;KRKA (SLOVENIE)
DATSCAN 74 MBq/ml  solution injectable;solution injectable;GE HEALTHCARE (ROYAUME-UNI)
DAUNOXOME 2mg/ml  dispersion liposomale à diluer injectable;dispersion liposomale à diluer injectable;GALEN (ROYAUME-UNI)
DEBRICALM 100 mg  comprimé pelliculé;comprimé pelliculé;PFIZER HOLDING FRANCE
DEBRIDAT 100 mg  comprimé pelliculé;comprimé pelliculé;PFIZER HOLDING FRANCE
DEBRIDAT 200 mg  comprimé pelliculé;comprimé pelliculé;PFIZER HOLDING FRANCE
DEBRIDAT 50 mg/5 ml  solution injectable en ampoule;solution injectable;PFIZER HOLDING FRANCE
DEBRIDAT ENFANT 4 8 mg/ml  granulés pour suspension buvable en flacon;granulés pour suspension buvable;PFIZER HOLDING FRANCE
DEBRIDAT  granulés pour suspension buvable en flacon;granulés pour suspension buvable;PFIZER HOLDING FRANCE
DEBRIDAT  granulés pour suspension buvable en sachet;granulés pour suspension buvable;PFIZER HOLDING FRANCE
DEBRUMYL  solution buvable en ampoule;solution buvable;PIERRE FABRE MEDICAMENT
DECALOGIFLOX  comprimé pelliculé sécable;comprimé pelliculé sécable;BIOCODEX BENELUX (BELGIQUE)
DECAN  solution à diluer pour perfusion;solution à diluer pour perfusion;AGUETTANT
DECAPEPTYL 0 1 mg  poudre et solvant pour solution injectable (S.C.);poudre et  solvant pour solution injectable;IPSEN PHARMA
DECAPEPTYL L.P. 11 25 mg  poudre et solvant pour suspension injectable (IM ou SC) forme à libération prolongée sur 3 mois;poudre et  solvant pour suspension injectable à libération prolongée;BB FARMA (ITALIE)
DECAPEPTYL L.P. 11 25 mg  poudre et solvant pour suspension injectable (IM ou SC) forme à libération prolongée sur 3 mois;poudre et  solvant pour suspension injectable à libération prolongée;IPSEN PHARMA
DECAPEPTYL L.P. 3 mg  poudre et solvant pour suspension injectable (I.M.) forme à libération prolongée sur 28 jours;poudre et  solvant pour suspension injectable à libération prolongée;IPSEN PHARMA
DECAPEPTYL LP 22 5 mg  poudre et solvant pour suspension injectable à libération prolongée;poudre et  solvant pour suspension injectable à libération prolongée;IPSEN PHARMA
DECONTRACTYL 500 mg  comprimé enrobé;comprimé enrobé;SANOFI AVENTIS FRANCE
DECONTRACTYL BAUME  pommade;pommade;SANOFI AVENTIS FRANCE
DECTANCYL 0 5 mg  comprimé;comprimé;SANOFI AVENTIS FRANCE
DEDROGYL 15 mg/ 100 ml  solution buvable en gouttes;solution buvable;DESMA PHARMA
DEFANYL 100 mg  comprimé;comprimé;EISAI SAS
DEFANYL 50 mg  comprimé;comprimé;EISAI SAS
DEFILTRAN 10 POUR CENT  crème;crème;TRADIPHAR
DEFITELIO 80 mg/ml  solution concentrée à diluer pour perfusion;solution concentré(e) à diluer pour perfusion;GENTIUM (ITALIE)
